condition1,condition2,value
Road_Type,Road_Type,1
Road_Type,Speed_limit,-0.24060206
Road_Type,Light_Conditions,-0.008985955
Road_Type,Weather_Conditions,0.00364732
Road_Type,Road_Surface_Conditions,0.019440945
Road_Type,Age_of_Driver,0.000943618
Road_Type,Sex_of_Driver,0.002800931
Road_Type,Age_of_Vehicle,0.040187785
Speed_limit,Road_Type,-0.24060206
Speed_limit,Speed_limit,1
Speed_limit,Light_Conditions,0.07912193
Speed_limit,Weather_Conditions,0.024271516
Speed_limit,Road_Surface_Conditions,0.093424446
Speed_limit,Age_of_Driver,0.00933092
Speed_limit,Sex_of_Driver,-0.018381893
Speed_limit,Age_of_Vehicle,-0.029049812
Light_Conditions,Road_Type,-0.008985955
Light_Conditions,Speed_limit,0.07912193
Light_Conditions,Light_Conditions,1
Light_Conditions,Weather_Conditions,0.109146052
Light_Conditions,Road_Surface_Conditions,0.180699371
Light_Conditions,Age_of_Driver,-0.112420897
Light_Conditions,Sex_of_Driver,-0.069135866
Light_Conditions,Age_of_Vehicle,0.02778063
Weather_Conditions,Road_Type,0.00364732
Weather_Conditions,Speed_limit,0.024271516
Weather_Conditions,Light_Conditions,0.109146052
Weather_Conditions,Weather_Conditions,1
Weather_Conditions,Road_Surface_Conditions,0.320615693
Weather_Conditions,Age_of_Driver,-0.023944465
Weather_Conditions,Sex_of_Driver,0.010193772
Weather_Conditions,Age_of_Vehicle,0.005419
Road_Surface_Conditions,Road_Type,0.019440945
Road_Surface_Conditions,Speed_limit,0.093424446
Road_Surface_Conditions,Light_Conditions,0.180699371
Road_Surface_Conditions,Weather_Conditions,0.320615693
Road_Surface_Conditions,Road_Surface_Conditions,1
Road_Surface_Conditions,Age_of_Driver,-0.045059701
Road_Surface_Conditions,Sex_of_Driver,0.013445376
Road_Surface_Conditions,Age_of_Vehicle,0.013817835
Age_of_Driver,Road_Type,0.000943618
Age_of_Driver,Speed_limit,0.00933092
Age_of_Driver,Light_Conditions,-0.112420897
Age_of_Driver,Weather_Conditions,-0.023944465
Age_of_Driver,Road_Surface_Conditions,-0.045059701
Age_of_Driver,Age_of_Driver,1
Age_of_Driver,Sex_of_Driver,-0.027604345
Age_of_Driver,Age_of_Vehicle,-0.034510294
Sex_of_Driver,Road_Type,0.002800931
Sex_of_Driver,Speed_limit,-0.018381893
Sex_of_Driver,Light_Conditions,-0.069135866
Sex_of_Driver,Weather_Conditions,0.010193772
Sex_of_Driver,Road_Surface_Conditions,0.013445376
Sex_of_Driver,Age_of_Driver,-0.027604345
Sex_of_Driver,Sex_of_Driver,1
Sex_of_Driver,Age_of_Vehicle,-0.025534871
Age_of_Vehicle,Road_Type,0.040187785
Age_of_Vehicle,Speed_limit,-0.029049812
Age_of_Vehicle,Light_Conditions,0.02778063
Age_of_Vehicle,Weather_Conditions,0.005419
Age_of_Vehicle,Road_Surface_Conditions,0.013817835
Age_of_Vehicle,Age_of_Driver,-0.034510294
Age_of_Vehicle,Sex_of_Driver,-0.025534871
Age_of_Vehicle,Age_of_Vehicle,1